timestamp,temperature,vibration,pressure,power
2026-01-09T08:00:00,33.5,1.2,52.0,4500
2026-01-09T08:15:00,33.8,1.3,51.8,4550
2026-01-09T08:30:00,34.2,1.4,51.5,4600
2026-01-09T08:45:00,34.6,1.5,51.2,4650
2026-01-09T09:00:00,35.0,1.6,50.8,4700
2026-01-09T09:15:00,35.5,1.7,50.5,4750
2026-01-09T09:30:00,36.0,1.9,50.0,4800
2026-01-09T09:45:00,36.5,2.1,49.5,4850
2026-01-09T10:00:00,37.0,2.3,49.0,4900
2026-01-09T10:15:00,37.6,2.5,48.5,4950
2026-01-09T10:30:00,38.2,2.7,48.0,5000
2026-01-09T10:45:00,38.8,2.9,47.5,5050
2026-01-09T11:00:00,39.5,3.1,47.0,5100
2026-01-09T11:15:00,40.2,3.4,46.5,5150
2026-01-09T11:30:00,41.0,3.7,46.0,5200
2026-01-09T11:45:00,41.8,4.0,45.5,5250
2026-01-09T12:00:00,42.6,4.3,45.0,5300
2026-01-09T12:15:00,43.5,4.6,44.5,5350
2026-01-09T12:30:00,44.5,4.9,44.0,5400
2026-01-09T12:45:00,45.5,5.2,43.5,5450
2026-01-09T13:00:00,46.5,5.5,43.0,5500
2026-01-09T13:15:00,47.5,5.8,42.5,5550
2026-01-09T13:30:00,48.5,6.1,42.0,5600
2026-01-09T13:45:00,49.5,6.4,41.5,5650
2026-01-09T14:00:00,50.5,6.7,41.0,5700
