timestamp,temperature,vibration,pressure,power
2026-01-09T08:00:00,82.5,3.2,2.5,1800
2026-01-09T08:15:00,83.1,3.3,2.6,1850
2026-01-09T08:30:00,84.5,3.4,2.7,1900
2026-01-09T08:45:00,85.2,3.5,2.8,1950
2026-01-09T09:00:00,86.0,3.6,2.9,2000
2026-01-09T09:15:00,87.3,3.7,3.0,2050
2026-01-09T09:30:00,88.8,3.9,3.1,2100
2026-01-09T09:45:00,90.2,4.1,3.2,2150
2026-01-09T10:00:00,91.5,4.3,3.3,2200
2026-01-09T10:15:00,92.8,4.5,3.4,2250
2026-01-09T10:30:00,94.1,4.7,3.5,2300
2026-01-09T10:45:00,95.5,4.9,3.6,2350
2026-01-09T11:00:00,97.2,5.1,3.7,2400
2026-01-09T11:15:00,99.0,5.4,3.8,2450
2026-01-09T11:30:00,101.5,5.7,4.0,2500
2026-01-09T11:45:00,104.2,6.0,4.2,2550
2026-01-09T12:00:00,107.1,6.3,4.5,2600
2026-01-09T12:15:00,110.5,6.6,4.8,2650
2026-01-09T12:30:00,114.2,6.9,5.1,2700
2026-01-09T12:45:00,118.0,7.2,5.5,2750
2026-01-09T13:00:00,122.5,7.5,5.8,2800
2026-01-09T13:15:00,125.2,7.8,6.1,2850
2026-01-09T13:30:00,127.5,8.0,6.3,2900
2026-01-09T13:45:00,129.0,8.2,6.5,2950
2026-01-09T14:00:00,130.5,8.4,6.7,3000
